ISBN,name,keyword,category
P1601280013,大甲名店手工杏仁脆片(6種口味任選),大甲師/禮盒\杏仁脆片,休閒食品
P1405160002,流淚烤土司餅乾[起司],Little Farm/零食\餅乾\吐司餅乾,休閒食品
P1701250018,味覺糖-酷露露(藍莓) 三入組,/,休閒食品
P1509100019,御林軍丹麥奶酥,IMPERIAL/零食\餅乾\奶酥餅,休閒食品
P1503200002,北日本-草莓迷你蛋捲,Bourbon/北日本\零食\蛋捲\草莓,休閒食品
P1409260015,小浣熊烤海苔焦糖原味,小浣熊/海苔\海苔片\海苔捲,休閒食品
P1807180026,Tohato東鳩-手指圈圈餅(5袋入)120g,/中元搶先GO,休閒食品
P1610190015,森永製菓-森永嬰兒餅86g,/,休閒食品
P1903060014,臺茶21號(紅韻)手採工夫紅茶茶包,/臺茶21號\功夫茶\紅茶\茶包\茶葉\臺茶,休閒食品
P1405150002,薯條三兄弟 [航空版] ,零食/餅乾\薯條三兄弟,休閒食品
P1810310003,Bourbon北日本-栗子牛奶巧克力帆船餅乾168g,/Bourbon\北日本\餅乾\零食\帆船,休閒食品
P2004220003,百靈QQ軟糖-迷你荷包蛋造型80g 492783-1,/糖果\軟糖\QQ軟糖\零食,休閒食品
P1902200007,Qoo果凍飲便利包-水蜜桃130ml,/飲品\飲料\Qoo\果凍飲,休閒食品
P1809190016,AGF BlendyStick抹茶歐蕾84g,/沖泡\飲品\抹茶牛奶\日本AGF咖啡,休閒食品
P1502250027,東鳩-蠟筆小新香蕉巧克力餅乾(附貼紙),Tohato/東鳩\零食\餅乾\巧克力,休閒食品
P1508090003,HARIBO哈利寶-水蜜桃Q軟糖,HARIBO/哈利寶\零食\糖果\軟糖\水果軟糖,休閒食品
P2004300045,比利時ACE Q軟糖48g(多口味可選),/糖果\Q彈\水果糖,休閒食品
P1503080008,柿原-半生草莓夾心蛋糕,柿原/蛋糕\夾心蛋糕\草莓,休閒食品
P1410030020,和光堂-牛乳屋奶茶-焦糖風味,和光堂/飲品\沖泡\茶包\粉包\奶茶\焦糖,休閒食品
P1801170001,日本SUNTORY-透明檸檬茶550ml,/,休閒食品
P1602240017,泰式酸辣湯火鍋湯底沾料兩用醬(250g),MUDAM PUM/泰國食品\沾醬\調味料\醬料,休閒食品
P1509160015,阿婆手作芭樂乾,阿婆手作/蜜餞\果乾\水果乾,休閒食品
P1505240018,泉屋製菓-泉屋什錦豆果子米果,泉屋製菓/零食\菓子\米果,休閒食品
P1510280042,韓國預感洋蔥風味洋芋片(3入組),ORION/好麗友\零食\餅乾\洋芋片\薯片,休閒食品
P1405170006,森永製菓-森永月光蛋糕,MORINAGA/森永\蛋糕,休閒食品
P1411300018,味之素-8袋入顆粒玉米濃湯,味之素/濃湯\湯包\調味包\料理包\濃湯塊,休閒食品
P1601210034,花蓮豐興餅舖-雷古多唱片餅綜合7片裝禮盒,豐興/餅\伴手禮\禮盒,休閒食品
P1602030015,正合興-油切蜜棗,正合興/蜜餞\果乾\蜜棗\紅棗,休閒食品
P1410090010,明日棗到_椰棗夾腰果＋夏威夷果,明日棗到/休閒零食\瓜子\果乾\堅果 \腰果\夏威夷果,休閒食品
P1705070002,長條軟糖－蘇打50g,日本零食季/,休閒食品
P1601280014,Pocky-胖胖草莓拿鐵棒,Glico/固力果\零食\餅乾\草莓棒,休閒食品
P1602240027,泰泰風-馬沙曼咖哩醬(200 ml),TAI TAI/料理包\調味料\醬料\咖哩,休閒食品
